Artist and Title,Streams,Daily,streams,Occurrence,Artist,title
The Weeknd - Blinding Lights,4758619145,1444495.0,4758619145,0,The Weeknd,Blinding Lights
Ed Sheeran - Shape of You,4274949284,1666662.0,4274949284,0,Ed Sheeran,Shape of You
Lewis Capaldi - Someone You Loved,3839518441,1151084.0,3839518441,0,Lewis Capaldi,Someone You Loved
Harry Styles - As It Was,3802871341,1331432.0,3802871341,0,Harry Styles,As It Was
The Weeknd - Starboy,3802309705,1647472.0,3802309705,0,The Weeknd,Starboy
Post Malone - Sunflower,3747829061,1181957.0,3747829061,0,Post Malone,Sunflower
The Neighbourhood - Sweater Weather,3650334123,2354505.0,3650334123,0,The Neighbourhood,Sweater Weather
Drake - One Dance,3568024306,1161570.0,3568024306,0,Drake,One Dance
The Kid LAROI - STAY,3499598552,1029125.0,3499598552,0,The Kid LAROI,STAY
Imagine Dragons - Believer,3365446859,1132363.0,3365446859,0,Imagine Dragons,Believer
Ed Sheeran - Perfect,3350473895,1652866.0,3350473895,0,Ed Sheeran,Perfect
Glass Animals - Heat Waves,3323963667,974100.0,3323963667,0,Glass Animals,Heat Waves
Billie Eilish - lovely,3240339888,1257154.0,3240339888,0,Billie Eilish,lovely
Tones And I - Dance Monkey,3231250733,489202.0,3231250733,0,Tones And I,Dance Monkey
James Arthur - Say You Won't Let Go,3196312679,905899.0,3196312679,0,James Arthur,Say You Won't Let Go
The Chainsmokers - Closer,3193802393,1318040.0,3193802393,0,The Chainsmokers,Closer
Post Malone - rockstar,3141264961,629390.0,3141264961,0,Post Malone,rockstar
The Chainsmokers - Something Just Like This,3068992534,1684492.0,3068992534,0,The Chainsmokers,Something Just Like This
Vance Joy - Riptide,3016628839,1407702.0,3016628839,0,Vance Joy,Riptide
Harry Styles - Watermelon Sugar,2964894423,1055725.0,2964894423,0,Harry Styles,Watermelon Sugar
Shawn Mendes - Señorita,2960127680,740130.0,2960127680,0,Shawn Mendes,Señorita
Hozier - Take Me to Church,2951007543,1465144.0,2951007543,0,Hozier,Take Me to Church
Tom Odell - Another Love,2938951542,1486122.0,2938951542,0,Tom Odell,Another Love
Arctic Monkeys - I Wanna Be Yours,2910741779,2272879.0,2910741779,0,Arctic Monkeys,I Wanna Be Yours
Coldplay - Yellow,2905772482,2239960.0,2905772482,0,Coldplay,Yellow
Dua Lipa - Don't Start Now,2879092954,962798.0,2879092954,0,Dua Lipa,Don't Start Now
OneRepublic - Counting Stars,2878528080,1452277.0,2878528080,0,OneRepublic,Counting Stars
Lord Huron - The Night We Met,2855706196,2563157.0,2855706196,0,Lord Huron,The Night We Met
Ed Sheeran - Photograph,2848092193,1655875.0,2848092193,0,Ed Sheeran,Photograph
Juice WRLD - Lucid Dreams,2834105391,933882.0,2834105391,0,Juice WRLD,Lucid Dreams
Taylor Swift - Cruel Summer,2813984681,1405461.0,2813984681,0,Taylor Swift,Cruel Summer
Travis Scott - goosebumps,2772945797,1223813.0,2772945797,0,Travis Scott,goosebumps
Post Malone - Circles,2767810020,979367.0,2767810020,0,Post Malone,Circles
Queen - Bohemian Rhapsody,2737667516,896181.0,2737667516,0,Queen,Bohemian Rhapsody
Drake - God's Plan,2733358490,705000.0,2733358490,0,Drake,God's Plan
Ed Sheeran - Thinking out Loud,2718603765,758586.0,2718603765,0,Ed Sheeran,Thinking out Loud
Justin Bieber - Love Yourself,2712259010,993383.0,2712259010,0,Justin Bieber,Love Yourself
Lady Gaga - Shallow,2707962385,898084.0,2707962385,0,Lady Gaga,Shallow
The Weeknd - Die For You,2707131428,1413574.0,2707131428,0,The Weeknd,Die For You
Billie Eilish - bad guy,2693799713,580839.0,2693799713,0,Billie Eilish,bad guy
John Legend - All of Me,2666870565,1281071.0,2666870565,0,John Legend,All of Me
Imagine Dragons - Thunder,2663720820,882982.0,2663720820,0,Imagine Dragons,Thunder
Avicii - Wake Me Up,2652926324,1180186.0,2652926324,0,Avicii,Wake Me Up
Coldplay - Viva La Vida,2649265863,1982319.0,2649265863,0,Coldplay,Viva La Vida
Bruno Mars - Just the Way You Are,2645646820,2265386.0,2645646820,0,Bruno Mars,Just the Way You Are
Imagine Dragons - Demons,2619612512,967607.0,2619612512,0,Imagine Dragons,Demons
The Weeknd - The Hills,2600843593,1033833.0,2600843593,0,The Weeknd,The Hills
Twenty One Pilots - Stressed Out,2589792713,812975.0,2589792713,0,Twenty One Pilots,Stressed Out
Bruno Mars - When I Was Your Man,2567001577,1482330.0,2567001577,0,Bruno Mars,When I Was Your Man
Kendrick Lamar - HUMBLE.,2563221324,1553357.0,2563221324,0,Kendrick Lamar,HUMBLE.
Bruno Mars - Locked out of Heaven,2562524129,1934486.0,2562524129,0,Bruno Mars,Locked out of Heaven
Eminem - Without Me,2560881335,1320560.0,2560881335,0,Eminem,Without Me
Bruno Mars - That's What I Like,2559208341,1594088.0,2559208341,0,Bruno Mars,That's What I Like
The Killers - Mr. Brightside,2548679339,1395496.0,2548679339,0,The Killers,Mr. Brightside
The Police - Every Breath You Take,2538800901,2069077.0,2538800901,0,The Police,Every Breath You Take
J. Cole - No Role Modelz,2531389981,996131.0,2531389981,0,J. Cole,No Role Modelz
Arctic Monkeys - Do I Wanna Know?,2509463217,1286145.0,2509463217,0,Arctic Monkeys,Do I Wanna Know?
Eminem - Lose Yourself,2501098874,1055426.0,2501098874,0,Eminem,Lose Yourself
Passenger - Let Her Go,2498855054,805045.0,2498855054,0,Passenger,Let Her Go
Ariana Grande - 7 rings,2492650504,671598.0,2492650504,0,Ariana Grande,7 rings
Linkin Park - In the End,2485258784,1300297.0,2485258784,0,Linkin Park,In the End
Miley Cyrus - Flowers,2473201267,1322652.0,2473201267,0,Miley Cyrus,Flowers
French Montana - Unforgettable,2441250276,1212142.0,2441250276,0,French Montana,Unforgettable
Shawn Mendes - Treat You Better,2439869400,886861.0,2439869400,0,Shawn Mendes,Treat You Better
Olivia Rodrigo - drivers license,2439134621,945702.0,2439134621,0,Olivia Rodrigo,drivers license
DJ Snake - Let Me Love You,2437519412,1091215.0,2437519412,0,DJ Snake,Let Me Love You
SZA - Kill Bill,2422711394,1434453.0,2422711394,0,SZA,Kill Bill
Calvin Harris - One Kiss,2408536140,811906.0,2408536140,0,Calvin Harris,One Kiss
Olivia Rodrigo - good 4 u,2383888684,691789.0,2383888684,0,Olivia Rodrigo,good 4 u
Justin Bieber - Sorry,2374448971,1075825.0,2374448971,0,Justin Bieber,Sorry
Marshmello - Happier,2362060657,691520.0,2362060657,0,Marshmello,Happier
XXXTENTACION - SAD!,2357423785,428159.0,2357423785,0,XXXTENTACION,SAD!
Shawn Mendes - There's Nothing Holdin' Me Back,2350425998,1029874.0,2350425998,0,Shawn Mendes,There's Nothing Holdin' Me Back
XXXTENTACION - Jocelyn Flores,2344557628,446567.0,2344557628,0,XXXTENTACION,Jocelyn Flores
