,id,streams,title,date,artists,artist_id
0,0VjIjW4GlUZAMYd2vXMi3b,4758619145,Blinding Lights,2020,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
1,7qiZfU4dY1lWllzX7mPBI3,4274949284,Shape of You,2017,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
2,7qEHsqek33rTcFNT9PFqLf,3839518441,Someone You Loved,2019,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB
3,4Dvkj6JhhA12EX05fT7y2e,3802871341,As It Was,2022,Harry Styles,6KImCVD70vtIoJWnq6nGn3
4,7MXVkk9YMctZqd1Srtv4MB,3802309705,Starboy,2016,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
5,7MXVkk9YMctZqd1Srtv4MB,3802309705,Starboy,2016,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
6,3KkXRkHbMCARz0aVfEt68P,3747829061,Sunflower - Spider-Man: Into the Spider-Verse,2018,Post Malone,246dkjvS1zLTtiykXe5h60
7,3KkXRkHbMCARz0aVfEt68P,3747829061,Sunflower - Spider-Man: Into the Spider-Verse,2018,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
8,2QjOHCTQ1Jl3zawyYOpxh6,3650334123,Sweater Weather,2013,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh
9,1zi7xx7UVEFkmKfv06H8x0,3568024306,One Dance,2016,Drake,3TVXtAsR1Inumwj472S9r4
10,1zi7xx7UVEFkmKfv06H8x0,3568024306,One Dance,2016,Wizkid,3tVQdUvClmAT7URs9V3rsp
11,1zi7xx7UVEFkmKfv06H8x0,3568024306,One Dance,2016,Kyla,6TK7fjRPdy2GW2pJzNF23L
12,567e29TDzLwZwfDuEpGTwo,3499598552,STAY (with Justin Bieber),2021,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
13,567e29TDzLwZwfDuEpGTwo,3499598552,STAY (with Justin Bieber),2021,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
14,0pqnGHJpmpxLKifKRmU6WP,3365446859,Believer,2017,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
15,0tgVpDi06FyKpA1z0VMD4v,3350473895,Perfect,2017,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
16,3USxtqRwSYz57Ewm6wWRMp,3323963667,Heat Waves,2020,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq
17,0u2P5u6lvoDfwTYjAADbn4,3240339888,lovely (with Khalid),2018,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
18,0u2P5u6lvoDfwTYjAADbn4,3240339888,lovely (with Khalid),2018,Khalid,6LuN9FCkKOj5PcnpouEgny
19,2XU0oxnq2qxCpomAAuJY8K,3231250733,Dance Monkey,2019,Tones And I,2NjfBq1NflQcKSeiDooVjY
20,5uCax9HTNlzGybIStD3vDh,3196312679,Say You Won't Let Go,2016,James Arthur,4IWBUUAFIplrNtaOHcJPRM
21,7BKLCZ1jbUBVqRi2FVlTVw,3193802393,Closer,2016,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
22,7BKLCZ1jbUBVqRi2FVlTVw,3193802393,Closer,2016,Halsey,26VFTg2z8YR0cCuwLzESi2
23,0e7ipj03S05BNilyu5bRzt,3141264961,rockstar (feat. 21 Savage),2018,Post Malone,246dkjvS1zLTtiykXe5h60
24,0e7ipj03S05BNilyu5bRzt,3141264961,rockstar (feat. 21 Savage),2018,21 Savage,1URnnhqYAYcrqrcwql10ft
25,6RUKPb4LETWmmr3iAEQktW,3068992534,Something Just Like This,2017,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
26,6RUKPb4LETWmmr3iAEQktW,3068992534,Something Just Like This,2017,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
27,2uXlHCUbq9OMUwx3hrk06o,3016628839,Riptide,2014,Vance Joy,10exVja0key0uqUkk6LJRT
28,6UelLqGlWMcVH1E5c4H7lY,2964894423,Watermelon Sugar,2019,Harry Styles,6KImCVD70vtIoJWnq6nGn3
29,6v3KW9xbzN5yKLt9YKDYA2,2960127680,Señorita,2019,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
30,6v3KW9xbzN5yKLt9YKDYA2,2960127680,Señorita,2019,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
31,1CS7Sd1u5tWkstBhpssyjP,2951007543,Take Me to Church,2014,Hozier,2FXC3k01G6Gw61bmprjgqS
32,3JvKfv6T31zO0ini8iNItO,2938951542,Another Love,2013,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
33,5XeFesFbtLpXzIVDNQP22n,2910741779,I Wanna Be Yours,2013,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
34,3AJwUDP919kvQ9QcozQPxg,2905772482,Yellow,2000,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
35,3PfIrDoz19wz7qK7tYeu62,2879092954,Don't Start Now,2020,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
36,2tpWsVSb9UEmDRxAl1zhX1,2878528080,Counting Stars,2013,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
37,0QZ5yyl6B6utIWkxeBDxQN,2855706196,The Night We Met,2015,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25
38,1HNkqx9Ahdgi1Ixy2xkKkL,2848092193,Photograph,2014,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
39,285pBltuF7vW8TeWk8hdRR,2834105391,Lucid Dreams,2018,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
40,1BxfuPKGuaTgP7aM0Bbdwr,2813984681,Cruel Summer,2019,Taylor Swift,06HL4z0CvFAxyc27GXpf02
41,2SzjMcZIsE2zUWQnccsTAo%MOD,2772945797,goosebumps,2016,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
47,21jGcNKet2qwijlDFuPiPb,2767810020,Circles,2019,Post Malone,246dkjvS1zLTtiykXe5h60
48,7tFiyTwD0nx5a1eklYtX2J,2737667516,Bohemian Rhapsody - Remastered 2011,1975,Queen,1dfeR4HaWDbWqFHLkxsg1d
49,6DCZcSspjsKoFjzjrWoCdn,2733358490,God's Plan,2018,Drake,3TVXtAsR1Inumwj472S9r4
50,34gCuhDGsG4bRPIf9bb02f,2718603765,Thinking out Loud,2014,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
51,50kpGaPAhYJ3sGmk6vplg0,2712259010,Love Yourself,2015,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
52,2VxeLyX666F8uXCJ0dZF8B,2707962385,Shallow,2018,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
53,2VxeLyX666F8uXCJ0dZF8B,2707962385,Shallow,2018,Bradley Cooper,4VIvfOurcf0vuLRxLkGnIG
54,0awWj9Wzj375IL5etqa1Dk%MOD,2707131428,Die For You,2023,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
59,2Fxmhks0bxGSBdJ92vM42m,2693799713,bad guy,2019,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
60,3U4isOIWM3VvDubwSI3y7a,2666870565,All of Me,2013,John Legend,5y2Xq6xcjJb2jVM54GHK3t
61,1zB4vmk8tFRmM9UULNzbLB,2663720820,Thunder,2017,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
62,0nrRP2bk19rLc0orkWPQk2,2652926324,Wake Me Up,2013,Avicii,1vCWHaC5f2uS3yhpwWbIA6
63,1mea3bSkSGXuIRvnydlB5b,2649265863,Viva La Vida,2008,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
64,7BqBn9nzAq8spo5e7cZ0dJ,2645646820,Just the Way You Are,2010,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
65,5dutmcNWUzaMvPMxK6hqfz%MOD,2619612512,Demons,2022,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
68,7fBv7CLKzipRk6EC6TWHOB,2600843593,The Hills,2015,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
69,3CRDbSIZ4r5MsZ0YwxuEkn,2589792713,Stressed Out,2015,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
70,0nJW01T7XtvILxQgC5J7Wh,2567001577,When I Was Your Man,2012,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
