Artist and Title,Streams,Daily,Occurrence,Artist,Title
The Weeknd - Blinding Lights,4723351692,1312396.0,0,The Weeknd,Blinding Lights
Ed Sheeran - Shape of You,4236865366,1436978.0,0,Ed Sheeran,Shape of You
Lewis Capaldi - Someone You Loved,3810260002,1080749.0,0,Lewis Capaldi,Someone You Loved
Harry Styles - As It Was,3771755743,1122578.0,0,Harry Styles,As It Was
The Weeknd - Starboy,3761560923,1584316.0,0,The Weeknd,Starboy
Post Malone - Sunflower,3719598841,1108110.0,0,Post Malone,Sunflower
The Neighbourhood - Sweater Weather,3596166667,2024511.0,0,The Neighbourhood,Sweater Weather
Drake - One Dance,3540449235,1025008.0,0,Drake,One Dance
The Kid LAROI - STAY,3474619809,970095.0,0,The Kid LAROI,STAY
Imagine Dragons - Believer,3337781334,1035966.0,0,Imagine Dragons,Believer
Ed Sheeran - Perfect,3310605996,1561235.0,0,Ed Sheeran,Perfect
Glass Animals - Heat Waves,3299931595,892697.0,0,Glass Animals,Heat Waves
Tones And I - Dance Monkey,3219318426,447905.0,0,Tones And I,Dance Monkey
Billie Eilish - lovely,3208170572,1284823.0,0,Billie Eilish,lovely
James Arthur - Say You Won't Let Go,3175376028,783806.0,0,James Arthur,Say You Won't Let Go
The Chainsmokers - Closer,3160881752,1205752.0,0,The Chainsmokers,Closer
Post Malone - rockstar,3125980876,568738.0,0,Post Malone,rockstar
The Chainsmokers - Something Just Like This,3028925257,1441253.0,0,The Chainsmokers,Something Just Like This
Vance Joy - Riptide,2983377843,1231264.0,0,Vance Joy,Riptide
Harry Styles - Watermelon Sugar,2943546439,576354.0,0,Harry Styles,Watermelon Sugar
Shawn Mendes - Señorita,2942228935,669152.0,0,Shawn Mendes,Señorita
Hozier - Take Me to Church,2915213499,1266561.0,0,Hozier,Take Me to Church
Tom Odell - Another Love,2902139043,1368054.0,0,Tom Odell,Another Love
Dua Lipa - Don't Start Now,2856583242,756686.0,0,Dua Lipa,Don't Start Now
Arctic Monkeys - I Wanna Be Yours,2856179962,2143240.0,0,Arctic Monkeys,I Wanna Be Yours
Coldplay - Yellow,2850853772,1967843.0,0,Coldplay,Yellow
OneRepublic - Counting Stars,2843294765,1278073.0,0,OneRepublic,Counting Stars
Juice WRLD - Lucid Dreams,2810374312,1005922.0,0,Juice WRLD,Lucid Dreams
Ed Sheeran - Photograph,2810127061,1317019.0,0,Ed Sheeran,Photograph
Lord Huron - The Night We Met,2794902331,2450124.0,0,Lord Huron,The Night We Met
Taylor Swift - Cruel Summer,2778579221,1380754.0,0,Taylor Swift,Cruel Summer
Post Malone - Circles,2744085997,921039.0,0,Post Malone,Circles
Travis Scott - goosebumps,2742591570,1201015.0,0,Travis Scott,goosebumps
Queen - Bohemian Rhapsody,2715680587,831312.0,0,Queen,Bohemian Rhapsody
Drake - God's Plan,2715655357,737684.0,0,Drake,God's Plan
Ed Sheeran - Thinking out Loud,2698789025,933455.0,0,Ed Sheeran,Thinking out Loud
Justin Bieber - Love Yourself,2687102570,955216.0,0,Justin Bieber,Love Yourself
Lady Gaga - Shallow,2684864998,863928.0,0,Lady Gaga,Shallow
Billie Eilish - bad guy,2679280989,558950.0,0,Billie Eilish,bad guy
Imagine Dragons - Thunder,2642702944,763006.0,0,Imagine Dragons,Thunder
John Legend - All of Me,2637983182,1045058.0,0,John Legend,All of Me
Avicii - Wake Me Up,2624296906,1047936.0,0,Avicii,Wake Me Up
Coldplay - Viva La Vida,2602735227,1606931.0,0,Coldplay,Viva La Vida
Imagine Dragons - Demons,2595022733,927260.0,0,Imagine Dragons,Demons
Bruno Mars - Just the Way You Are,2590936678,2132006.0,0,Bruno Mars,Just the Way You Are
The Weeknd - The Hills,2574922672,1022124.0,0,The Weeknd,The Hills
Twenty One Pilots - Stressed Out,2570247651,753674.0,0,Twenty One Pilots,Stressed Out
Bruno Mars - When I Was Your Man,2529605685,1414785.0,0,Bruno Mars,When I Was Your Man
Eminem - Without Me,2527835410,1215171.0,0,Eminem,Without Me
Bruno Mars - That's What I Like,2519187918,1602380.0,0,Bruno Mars,That's What I Like
Kendrick Lamar - HUMBLE.,2518862883,1929480.0,0,Kendrick Lamar,HUMBLE.
The Killers - Mr. Brightside,2515902836,1189737.0,0,The Killers,Mr. Brightside
Bruno Mars - Locked out of Heaven,2515093390,1785374.0,0,Bruno Mars,Locked out of Heaven
J. Cole - No Role Modelz,2505133429,955543.0,0,J. Cole,No Role Modelz
The Police - Every Breath You Take,2488619121,1841648.0,0,The Police,Every Breath You Take
Arctic Monkeys - Do I Wanna Know?,2478558612,1139269.0,0,Arctic Monkeys,Do I Wanna Know?
Passenger - Let Her Go,2478354835,782021.0,0,Passenger,Let Her Go
Ariana Grande - 7 rings,2475531391,674696.0,0,Ariana Grande,7 rings
Eminem - Lose Yourself,2475055474,957706.0,0,Eminem,Lose Yourself
Linkin Park - In the End,2454543867,1056950.0,0,Linkin Park,In the End
Miley Cyrus - Flowers,2441190194,1199693.0,0,Miley Cyrus,Flowers
Shawn Mendes - Treat You Better,2417820066,832595.0,0,Shawn Mendes,Treat You Better
Olivia Rodrigo - drivers license,2415755553,903184.0,0,Olivia Rodrigo,drivers license
DJ Snake - Let Me Love You,2411808211,970106.0,0,DJ Snake,Let Me Love You
French Montana - Unforgettable,2411635983,1014090.0,0,French Montana,Unforgettable
Calvin Harris - One Kiss,2390846786,657823.0,0,Calvin Harris,One Kiss
SZA - Kill Bill,2384677027,1528903.0,0,SZA,Kill Bill
Olivia Rodrigo - good 4 u,2367709453,638936.0,0,Olivia Rodrigo,good 4 u
Justin Bieber - Sorry,2348177946,1027230.0,0,Justin Bieber,Sorry
XXXTENTACION - SAD!,2346522518,434931.0,0,XXXTENTACION,SAD!
Marshmello - Happier,2344965215,671361.0,0,Marshmello,Happier
XXXTENTACION - Jocelyn Flores,2333159201,444193.0,0,XXXTENTACION,Jocelyn Flores
Shawn Mendes - There's Nothing Holdin' Me Back,2325087967,927681.0,0,Shawn Mendes,There's Nothing Holdin' Me Back
Travis Scott - SICKO MODE,2310218627,696743.0,0,Travis Scott,SICKO MODE
Journey - Don't Stop Believin',2304981058,1170792.0,0,Journey,Don't Stop Believin'
Nirvana - Smells Like Teen Spirit,2303886932,1101928.0,0,Nirvana,Smells Like Teen Spirit
Lil Uzi Vert - XO Tour Llif3,2303439289,389757.0,0,Lil Uzi Vert,XO Tour Llif3
Elton John - Cold Heart,2292983713,872605.0,0,Elton John,Cold Heart
Major Lazer - Lean On,2291317908,646802.0,0,Major Lazer,Lean On
The Weeknd - Save Your Tears,2271836316,911366.0,0,The Weeknd,Save Your Tears
Dua Lipa - New Rules,2265283935,600827.0,0,Dua Lipa,New Rules
Oasis - Wonderwall,2261258273,868672.0,0,Oasis,Wonderwall
Dua Lipa - Levitating,2260426541,466558.0,0,Dua Lipa,Levitating
Sam Smith - Too Good At Goodbyes,2255433835,594768.0,0,Sam Smith,Too Good At Goodbyes
Sam Smith - Stay With Me,2246091497,566446.0,0,Sam Smith,Stay With Me
Queen - Don't Stop Me Now,2245255497,834605.0,0,Queen,Don't Stop Me Now
Camila Cabello - Havana,2231304334,555063.0,0,Camila Cabello,Havana
Jung Kook - Seven,2230505900,1856348.0,0,Jung Kook,Seven
Mark Ronson - Uptown Funk,2229455873,1009913.0,0,Mark Ronson,Uptown Funk
a-ha - Take on Me,2228116413,847935.0,0,a-ha,Take on Me
Coldplay - The Scientist,2218835514,1344448.0,0,Coldplay,The Scientist
Adele - Someone Like You,2212585694,918115.0,0,Adele,Someone Like You
Maroon 5 - Memories,2206730443,645361.0,0,Maroon 5,Memories
Halsey - Without Me,2200782942,639863.0,0,Halsey,Without Me
"Tyler, The Creator - See You Again",2197731618,2214299.0,0,"Tyler, The Creator",See You Again
The Goo Goo Dolls - Iris,2181145103,1936098.0,0,The Goo Goo Dolls,Iris
Mariah Carey - All I Want for Christmas Is You,2168798365,100173.0,0,Mariah Carey,All I Want for Christmas Is You
Eminem - Till I Collapse,2167282750,659575.0,0,Eminem,Till I Collapse
Guns N' Roses - Sweet Child O' Mine,2156804370,1055037.0,0,Guns N' Roses,Sweet Child O' Mine
Bad Bunny - DÁKITI,2149311049,677866.0,0,Bad Bunny,DÁKITI
Lil Nas X - INDUSTRY BABY,2131668053,354332.0,0,Lil Nas X,INDUSTRY BABY
Lewis Capaldi - Before You Go,2130158246,683822.0,0,Lewis Capaldi,Before You Go
Billie Eilish - BIRDS OF A FEATHER,2126764510,5831445.0,0,Billie Eilish,BIRDS OF A FEATHER
Linkin Park - Numb,2125220514,1221944.0,0,Linkin Park,Numb
Alan Walker - Faded,2121712942,461814.0,0,Alan Walker,Faded
Charlie Puth - We Don't Talk Anymore,2121694098,1008058.0,0,Charlie Puth,We Don't Talk Anymore
Shawn Mendes - Stitches,2119157691,715146.0,0,Shawn Mendes,Stitches
Maroon 5 - Payphone,2119073954,1039788.0,0,Maroon 5,Payphone
Lukas Graham - 7 Years,2116554767,641053.0,0,Lukas Graham,7 Years
Post Malone - Congratulations,2115899076,423268.0,0,Post Malone,Congratulations
Mike Posner - I Took A Pill In Ibiza,2112925557,519068.0,0,Mike Posner,I Took A Pill In Ibiza
